Time,Stock,Brd,Price,Qty,BT,BC,SC,m
14:36:42,INDF,RG,6325,25,D,XA,ZP,F
14:36:42,INDF,RG,6325,20,D,DR,ZP,F
14:36:42,INDF,RG,6325,1,D,YU,ZP,F
14:36:42,INDF,RG,6325,1,D,PD,ZP,F
14:36:42,INDF,RG,6325,100,D,YU,ZP,F
14:36:42,INDF,RG,6325,10,D,XC,ZP,F
14:36:42,INDF,RG,6325,2,D,XC,ZP,F
14:36:42,INDF,RG,6350,4,F,CS,BB,D
14:36:42,INDF,RG,6350,19,F,CS,YU,D
14:36:41,INDF,RG,6350,13,F,CS,YU,D
14:36:41,INDF,RG,6350,38,F,CS,YU,D
14:36:41,INDF,RG,6350,2,F,CS,YU,D
14:36:41,INDF,RG,6350,3,F,CS,YU,D
14:36:41,INDF,RG,6350,9,F,CS,YU,D
14:36:41,INDF,RG,6350,10,F,CS,YU,D
14:36:41,INDF,RG,6350,2,F,CS,YU,D
14:36:41,INDF,RG,6350,8,F,CS,YU,D
14:36:41,INDF,RG,6350,24,F,CS,YU,D
14:36:41,INDF,RG,6350,72,D,CP,YU,D
14:36:37,INDF,RG,6350,9,D,CP,BK,F
14:36:36,INDF,RG,6350,19,D,CP,YU,D
14:36:36,INDF,RG,6350,1,D,NI,YU,D
14:36:36,INDF,RG,6350,1,D,XC,YU,D
14:36:36,INDF,RG,6350,2,D,XC,YU,D
14:36:36,INDF,RG,6350,6,F,CS,YU,D
14:36:36,INDF,RG,6350,33,D,YU,YU,D
14:36:36,INDF,RG,6350,1,F,AK,YU,D
14:36:36,INDF,RG,6350,3,F,AK,YU,D
14:36:36,INDF,RG,6350,34,F,CS,YU,D
14:36:29,INDF,RG,6350,9,F,CS,BK,F
14:36:27,INDF,RG,6350,1,F,CS,DX,D
14:36:19,INDF,RG,6350,8,F,CS,BK,F
14:36:18,INDF,RG,6350,1,F,CS,YP,D
14:36:12,INDF,RG,6350,8,F,CS,BK,F
14:36:08,INDF,RG,6350,165,F,CS,YP,D
14:36:08,INDF,RG,6350,1,D,PD,YP,D
14:36:08,INDF,RG,6350,3,D,PD,YP,D
14:36:08,INDF,RG,6350,1,D,NI,YP,D
14:36:08,INDF,RG,6350,1,D,GR,YP,D
14:36:08,INDF,RG,6350,1,D,CC,YP,D
14:36:08,INDF,RG,6350,1,D,HP,YP,D
14:36:08,INDF,RG,6350,1,D,XL,YP,D
14:36:08,INDF,RG,6350,1,D,CC,YP,D
